product_id,tag_1,tag_2,tag_3,tag_4,tag_5,tag_6,tag_7,tag_8,tag_9,tag_10,tag_11,tag_12
120401325X,great driving,believe one,sister awesome,awesome make,make phone,phone stylish,ask great driving,believe one year,sister awesome make,awesome make phone,make phone stylish,phone stylish used
3998899561,battery case,phone case,never take,protects phone,battery life,case fits,case,phone,called power bear,battery phone there,came packaged price,case came packaged
6073894996,works great,slot design,car charger,3 months,charging phone,phone car,1 slot design,charging phone car,driving night deal,stop working also,charge,works
7532385086,phone perfectly,fit phone,case fit,snazzy phone,rubberized cover,product expected,case fit phone,fit phone perfectly,case fit phone,fit phone perfectly,money snazzy phone,product expected rubberized
7887421268,loved case,case worth,dollor bought,expected dollor,easy expected,peels easy,case,phone,phone use judgement,case worth bucks,dollor bought mine,expected dollor bought
8199406933,different countries,one work,much great,great product,product use,use price,adapters different countries,one work keep,much great product,great product use,product use price,use price bought
8288853439,recommended product,store short,tall bed,perfect tall,length perfect,cord length,great recommended product,convenience store short,perfect tall bed,length perfect tall,cord length perfect,greatpros cord length
8288855504,car charger,used love,eventually break,pretty far,far coiled,coiled section,chargers used love,problem reach pretty,pretty far coiled,far coiled section,car,great
8288862993,car charger,stopped working,charges phone,charger works,works great,oem car,oem car charger,longer decent length,charger stopped working,phone pretty quickly,charger,phone
8288878881,micro usb,charge phone,part charger,worked fine,looks acts,good charger,charger,cord,part charger micro,charger micro usb,quality travel charger,charger works ports
878968897X,dies quickly,anywhere anytime,slimmer thought,thought ads,ads 125,125 battery,phone dies quickly,color phone dies,slimmer thought ads,thought ads 125,ads 125 battery,125 battery charged
9574442764,click pieces,thought cute,case expected,expected love,love design,design slim,three click pieces,case thought cute,love case expected,case expected love,expected love design,love design slim
9658231942,case phone,connect case,phone gave,gave ideai,ideai decided,decided order,phone,find 5 stars,connect case phone,phone gave ideai,gave ideai decided,phone
9658231950,positive reviews,battery life,reviewers posted,especially needed,negative review,yet negative,day especially needed,reviews case none,course verified purchase,review course verified,battery,reviews
9819958431,case looks,features losing,however large,large screen,screen phone,phone dies,phone,phone store recommend,phones features losing,phone however large,however large screen,phone
9861203192,samsung galaxy,galaxy s2,dropped phone,quality product,fit phone,case fit,samsung galaxy s2,case,phone,samsung galaxy s2,buy cover outside,button also extra
9866137252,5 bad,iphone 5,case made,made virtually,virtually resists,resists oil,iphone 5 bad,silicone attracts dust,case made virtually,made virtually resists,virtually resists oil,resists oil dust
9981724580,usb cable,microusb connector,cable microusb,transmit data,cables transmit,20 cable,cable microusb connector,cables transmit data,cable,cable microusb connector,cables transmit data,custom cable inflated
9983744066,3 cables,used cable,touch stone,gets price,elsewhere attempting,cord easy,cable,handling gets price,elsewhere attempting purchase,easy use easily,cord easy use,cable
9983798883,price free,wall charger,car charger,low price,free shipping,packaging transit,low price free,price free shipping,charger,low price free,price free shipping,material packaging transit
9985039998,usb cable,micro usb,doubt outperforms,result stiff,thick result,bit thick,cable,cord use pc,even cord use,result stiff unmanageably,thick result stiff,cable
9985537742,works great,works fine,charge phone,transfer data,phone buy,cable works,cable works fine,cord phone charge,works value price,great always backup,phone,works
998554627X,retract button,doesnt work,works fine,cord hanging,months stopped,stopped workingthats,charger,compact item advertise,charger initially great,stopped workingthats 50,workingthats 50 hit,charger
9985612272,data cable,charger works,using phone,comes phone,cord great,power cable,cord comes phone,phone,cord comes phone,fancy charger ment,use standard cord,great replacement standard
9989375976,retractable cord,handy wish,length cord,cord longer,longer already,already plugin,easy store use,handy wish length,length cord longer,cord longer already,cord,retractable
B00001W0EQ,sound quality,cell phone,works fine,ear piece,headset sound,quality great,headset sound quality,slider work lasted,anything hand conversation,amplifier headset usually,headset,sound
B00001W0ET,last long,desktop use,tried returned,valuejerry tried,excellent valuejerry,wellall excellent,short desktop use,daily abuse hold,returned least 5,tried returned least,headset,headsets
B00002X29G,pry tool,tool set,iphone 4,high quality,magnetic tip,job done,tools,set,battery,tool,use,driver magnetic tip
B00004WINT,fit ear,ear gels,made huge,habra stone,huge difference,sound ear,made huge difference,ear,fit,headset,made huge difference,unhappy condition eargels
B000056PYW,microphone arm,capture sound,ear ear,size ears,noise end,wind noise,flimsy bad buy,ears need find,happy makes far,end happy makes,ear,arm
B00006JPFU,tape player,sound quality,cassette adapter,skip mode,car tape,player car,car tape player,players skip mode,cassette adapter replace,need insert cassette,tape,sound
B00009WCAP,read dbm,data signal,better reception,set phone,nothing improve,10 minutes,phone,apparently much anymore,putting inside batter,read dbm putting,checked read dbm,phone
B0000AGRYX,cell phone,color display,quality pictures,use phone,features phone,phone tmobile,phone,whove negative experiences,phones improve quickly,bestright phone best,race bestright phone,phone
B0000AKAJL,cell phone,hold charge,used battery,new battery,excellent replacement,shipment provided,battery,seems hold charge,replacement battery fit,quick shipment provided,shipment provided vendor,battery
B0000ALPBP,sound quality,cell phone,hands free,works great,plastic bag,fit phone,headset,chat hands free,dirty extremely quickly,wear work phone,easy wear work,headset
B0000CEPC8,important call,away desk,home office,use headset,desk phone,feet away,feet away desk,typical desk phone,phone,headset,unit,feet away desk
B0000DYUZO,pry open,phone dry,secure dry,water test,put phones,phones cases,safe secure dry,kayak true test,even flipped kayak,wife even flipped,open,case
B0000E3GWH,customer service,battery life,external display,use battery,minutes day,wireless modem,10 minutes day,phone,10 minutes day,phone 24 hour,9 photos transferred,photos transferred data
